Past,EVT,Acres
Past Northern Hardwoods Forest-Hemlock,Northern Hardwoods Forest,8123
Past Northern Hardwoods Forest-Hemlock,Alkaline Conifer-Hardwood Swamp,3673
Past Northern Hardwoods Forest-Hemlock,Floodplain Forest,758
Past Northern Hardwoods Forest-Hemlock,Developed-Roads,229
Past Northern Hardwoods Forest-Hemlock,Jack Pine-Red Pine Forest,226
Past Pine-Oak Barrens-Jack Pine,Northern Hardwoods Forest,2889
Past Pine-Oak Barrens-Jack Pine,Oak Barrens,1588
Past Pine-Oak Barrens-Jack Pine,Ruderal Meadow,1186
Past Pine-Oak Barrens-Jack Pine,Alkaline Conifer-Hardwood Swamp,1055
Past Pine-Oak Barrens-Jack Pine,Pine Barrens,445
Past Northern Pine(-Oak) Forest-Pine Dominated,Northern Hardwoods Forest,3985
Past Northern Pine(-Oak) Forest-Pine Dominated,Alkaline Conifer-Hardwood Swamp,995
Past Northern Pine(-Oak) Forest-Pine Dominated,Oak Barrens,335
Past Northern Pine(-Oak) Forest-Pine Dominated,Jack Pine-Red Pine Forest,184
Past Northern Pine(-Oak) Forest-Pine Dominated,Ruderal Meadow,173
Past Dry-Mesic Oak Forest and Woodland,Northern Hardwoods Forest,360
Past Dry-Mesic Oak Forest and Woodland,Floodplain Forest,139
Past Dry-Mesic Oak Forest and Woodland,Alkaline Conifer-Hardwood Swamp,124
Past Dry-Mesic Oak Forest and Woodland,Jack Pine-Red Pine Forest,31
Past Dry-Mesic Oak Forest and Woodland,Close Grown Crop,18
