"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1,0,13498,39.2,6.560028
"2","All Fire","13100_41_62",0.0748626,"North-Central Interior Dry-Mesic Oak Forest and Woodland",7,0.870588,762,2.2,57.0453012
"3","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",13,0.4,47,0.1,0.1025634
"4","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",3,0.498039,6673,19.4,196.2876296
"5","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",9,0.447059,413,1.2,1.9356484
"6","All Fire","13652_41",0.0019676,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",14,0.27451,12,0,0.0236112
"7","All Fire","13653_41",0.013212,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",15,0.568627,6,0,0.079272
"8","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",16,0.690196,12,0,2.4166968
"9","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",12,0,66,0.2,15.047274
"10","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",2,0.392157,8451,24.6,999.085671
"11","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",5,0.611765,926,2.7,4.5979604
"12","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",17,0.690196,1,0,0.0174338
"13","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",6,0.960784,794,2.3,13.5685072
"14","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",4,0.541176,1744,5.1,16.8152992
"15","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",18,1,6,0,0.0058248
"16","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",10,1,367,1.1,0.366633
"17","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",11,0.419608,201,0.6,11.3466912
"18","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1,0,13498,39.2,24.1155268
"19","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",7,0.870588,762,2.2,85.0571832
"20","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",13,0.4,47,0.1,6.695714
"21","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",3,0.498039,6673,19.4,202.6443294
"22","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",9,0.447059,413,1.2,11.392605
"23","All Transitions","13652_41",0.0194608,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",14,0.27451,12,0,0.2335296
"24","All Transitions","13653_41",0.0279418,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",15,0.568627,6,0,0.1676508
"25","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",16,0.690196,12,0,2.8577328
