"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1989,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,442,1.3
"2",13,157,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,35,0.1
"3",14,14,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,3,0
"4",15,13,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,3,0
"5",16,133,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,30,0.1
"6",17,141,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,31,0.1
"7",22,40,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,9,0
"8",23,25,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,6,0
"9",24,2,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,0,0
"10",25,3298,278209151,"Developed-Roads",0,0,0,0,0,0,733,2.1
"11",63,11,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,2,0
"12",64,500,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,111,0.3
"13",65,609,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,135,0.4
"14",68,1,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"15",115,17,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,4,0
"16",118,2,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,0,0
"17",119,1,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,0,0
"18",121,2,14492868,"Tree Cover = 21%",203,225,195,0.796078431,0.882352941,0.764705882,0,0
"19",123,3,15140697,"Tree Cover = 23%",195,221,185,0.764705882,0.866666667,0.725490196,1,0
"20",124,7,15453883,"Tree Cover = 24%",191,219,180,0.749019608,0.858823529,0.705882353,2,0
"21",125,73,41607650,"Tree Cover = 25%",187,217,176,0.733333333,0.850980392,0.690196078,16,0
"22",126,9,16086530,"Tree Cover = 26%",182,215,171,0.71372549,0.843137255,0.670588235,2,0
"23",127,19,18727838,"Tree Cover = 27%",178,213,166,0.698039216,0.835294118,0.650980392,4,0
"24",128,20,18708923,"Tree Cover = 28%",174,211,162,0.682352941,0.82745098,0.635294118,4,0
"25",129,31,20747451,"Tree Cover = 29%",170,209,158,0.666666667,0.819607843,0.619607843,7,0
"26",130,39,19623262,"Tree Cover = 30%",166,207,154,0.650980392,0.811764706,0.603921569,9,0
"27",131,82,19345830,"Tree Cover = 31%",163,205,150,0.639215686,0.803921569,0.588235294,18,0.1
"28",132,99,19814034,"Tree Cover = 32%",159,202,145,0.623529412,0.792156863,0.568627451,22,0.1
"29",133,149,19798370,"Tree Cover = 33%",155,200,141,0.607843137,0.784313725,0.552941176,33,0.1
"30",134,197,20709922,"Tree Cover = 34%",151,198,137,0.592156863,0.776470588,0.537254902,44,0.1
"31",135,2522,63165199,"Tree Cover = 35%",147,196,133,0.576470588,0.768627451,0.521568627,561,1.6
"32",136,338,22885140,"Tree Cover = 36%",143,195,128,0.560784314,0.764705882,0.501960784,75,0.2
"33",137,465,21301323,"Tree Cover = 37%",139,193,124,0.545098039,0.756862745,0.48627451,103,0.3
"34",138,658,23172143,"Tree Cover = 38%",135,191,120,0.529411765,0.749019608,0.470588235,146,0.4
"35",139,814,25209849,"Tree Cover = 39%",131,190,115,0.51372549,0.745098039,0.450980392,181,0.5
"36",140,1048,23645421,"Tree Cover = 40%",127,188,111,0.498039216,0.737254902,0.435294118,233,0.7
"37",141,1380,25552784,"Tree Cover = 41%",123,186,106,0.482352941,0.729411765,0.415686275,307,0.9
"38",142,1506,26372996,"Tree Cover = 42%",118,185,102,0.462745098,0.725490196,0.4,335,1
"39",143,1800,26586808,"Tree Cover = 43%",114,183,98,0.447058824,0.717647059,0.384313725,400,1.2
"40",144,1940,28829919,"Tree Cover = 44%",110,181,94,0.431372549,0.709803922,0.368627451,431,1.3
"41",145,6703,111979606,"Tree Cover = 45%",106,180,90,0.415686275,0.705882353,0.352941176,1491,4.3
"42",146,2248,28389332,"Tree Cover = 46%",101,178,87,0.396078431,0.698039216,0.341176471,500,1.5
"43",147,2463,29897995,"Tree Cover = 47%",96,177,83,0.376470588,0.694117647,0.325490196,548,1.6
"44",148,2670,31991033,"Tree Cover = 48%",92,175,80,0.360784314,0.68627451,0.31372549,594,1.7
"45",149,2873,31564973,"Tree Cover = 49%",87,174,76,0.341176471,0.682352941,0.298039216,639,1.9
"46",150,2969,34707145,"Tree Cover = 50%",82,172,73,0.321568627,0.674509804,0.28627451,660,1.9
"47",151,3250,38672990,"Tree Cover = 51%",78,171,69,0.305882353,0.670588235,0.270588235,723,2.1
